uuid;relative_time_us;agent;source;type;igs_timestamp;value
;150409611;SmartEyeProBridge;pupil_diameter_quality;2;;0.718507
;150426735;SmartEyeProBridge;pupil_diameter;2;;0.004737
;150426755;SmartEyeProBridge;pupil_diameter_quality;2;;0.808776
;150426972;SmartEyeProBridge;pupil_diameter;2;;0.004542
;150426991;SmartEyeProBridge;pupil_diameter_quality;2;;0.775610
;150427045;SmartEyeProBridge;an_saccade;1;;6984
;150427063;SmartEyeProBridge;an_fixation;1;;0
;150427082;SmartEyeProBridge;an_blink;1;;0
;150459724;SmartEyeProBridge;pupil_diameter;2;;0.004740
;150459744;SmartEyeProBridge;pupil_diameter_quality;2;;0.779173
;150459942;SmartEyeProBridge;pupil_diameter;2;;0.004696
;150459961;SmartEyeProBridge;pupil_diameter_quality;2;;0.836645
;150473943;SmartEyeProBridge;filtered_closest_world_object_name;3;;PFD
;150474001;SmartEyeProBridge;pupil_diameter;2;;0.004705
;150474020;SmartEyeProBridge;pupil_diameter_quality;2;;0.856985
;150490785;SmartEyeProBridge;pupil_diameter;2;;0.004379
;150490821;SmartEyeProBridge;pupil_diameter_quality;2;;0.761914
;150507507;SmartEyeProBridge;pupil_diameter;2;;0.004827
;150507526;SmartEyeProBridge;pupil_diameter_quality;2;;0.851033
;150507584;SmartEyeProBridge;an_saccade;1;;0
;150507603;SmartEyeProBridge;an_fixation;1;;6985
;150507623;SmartEyeProBridge;an_blink;1;;0
;150524436;SmartEyeProBridge;pupil_diameter;2;;0.004746
;150524455;SmartEyeProBridge;pupil_diameter_quality;2;;0.805196
;150540153;SmartEyeProBridge;pupil_diameter;2;;0.004584
;150540175;SmartEyeProBridge;pupil_diameter_quality;2;;0.774167
;150563549;SmartEyeProBridge;pupil_diameter;2;;0.004648
;150563572;SmartEyeProBridge;pupil_diameter_quality;2;;0.737585
;150573895;SmartEyeProBridge;pupil_diameter;2;;0.004673
;150573920;SmartEyeProBridge;pupil_diameter_quality;2;;0.824385
;150614224;SmartEyeProBridge;pupil_diameter;2;;0.004709
;150614246;SmartEyeProBridge;pupil_diameter_quality;2;;0.780900
;150614470;SmartEyeProBridge;pupil_diameter;2;;0.004765
;150614489;SmartEyeProBridge;pupil_diameter_quality;2;;0.898395
;150614552;SmartEyeProBridge;an_saccade;1;;0
;150614576;SmartEyeProBridge;an_fixation;1;;6985
;150614595;SmartEyeProBridge;an_blink;1;;0
;150624040;SmartEyeProBridge;pupil_diameter;2;;0.004760
;150624071;SmartEyeProBridge;pupil_diameter_quality;2;;0.812985
;150640944;SmartEyeProBridge;pupil_diameter;2;;0.004828
;150640975;SmartEyeProBridge;pupil_diameter_quality;2;;0.866005
;150660356;SmartEyeProBridge;pupil_diameter;2;;0.004743
;150660387;SmartEyeProBridge;pupil_diameter_quality;2;;0.797307
;150673581;SmartEyeProBridge;pupil_diameter;2;;0.004756
;150673611;SmartEyeProBridge;pupil_diameter_quality;2;;0.790750
;150707200;SmartEyeProBridge;pupil_diameter;2;;0.004838
